video_title,author,comment_text
I bought the CHEAPEST Tech in India!,@advvinaybansal8231,I am
I bought the CHEAPEST Tech in India!,@baldevmohanty9398,Hello
I bought the CHEAPEST Tech in India!,@__abuu__,🇮🇳
I bought the CHEAPEST Tech in India!,@aaquibkhan0208,Most of.rhe product are china Made
I bought the CHEAPEST Tech in India!,@jacklenrickmine9455,Exploring other country is so cool to see! :)
I bought the CHEAPEST Tech in India!,@rajuforpc,make  sure you are using a real map of my country
I bought the CHEAPEST Tech in India!,@MuhammadAmeen-vc5ic,This all are chainees product😂😂
I bought the CHEAPEST Tech in India!,@reiteration6273,It&#39;s actually amazing to think how much cheaper tech can be while still being good enough. It really shows just how much the big tech companies are ripping us off.
I bought the CHEAPEST Tech in India!,@tobilobaashogbon2269,Do Africa next
I bought the CHEAPEST Tech in India!,@antonioargese1373,Very cheap stuff. At what environmental cost?
I bought the CHEAPEST Tech in India!,@skyiscoool5690,The collab we never knew we wanted...
I bought the CHEAPEST Tech in India!,@kelvinthomas9945,Most of products are from China by the way
I bought the CHEAPEST Tech in India!,@arunbabu8220,Bro you would have avoided that sponsored message of Surfshark VPN for using TikTok which was banned for National Security reasons.<br><br>That didnt sound well for me
I bought the CHEAPEST Tech in India!,@artyditu,Can imagine the smell
I bought the CHEAPEST Tech in India!,@TogetherWeVibe.,Why don&#39;t you go to chor bazaar
I bought the CHEAPEST Tech in India!,@jaredraymond7154,"<a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=522"">8:42</a> are you stoned , crying or have pink eye ? 😂"
I bought the CHEAPEST Tech in India!,@Piano_Tutorials_2023,"<a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=1065"">17:45</a> &quot;she said&quot; the editor was lazy so i completed it no worries editor"
I bought the CHEAPEST Tech in India!,@MohammedAyaaz-kd8cu,King and Prince together
I bought the CHEAPEST Tech in India!,@Totally_leo,Bro come to bhutan it near of inida
I bought the CHEAPEST Tech in India!,@TrippyGaming001,Fun fact - THERE ARE TONS OF FREE VPN APP AVAILABLE IN APP STORE OR PLASTORE 😂😂
I bought the CHEAPEST Tech in India!,@harshevardhandhanabalan2913,Man come to Malaysia
I bought the CHEAPEST Tech in India!,@SlLionBoy,"Hi I&#39;m from Sri Lanka🇱🇰.i think you are a Buddhist🙏.Because i saw a statue of Lord Buddha on your wall.Are you a buddhust,aren&#39;t you🧐?"
I bought the CHEAPEST Tech in India!,@ninadwrites,The map needs updating mate.
I bought the CHEAPEST Tech in India!,@user-bi3zm3vl1d,ME
I bought the CHEAPEST Tech in India!,@RaviNarapalli,Buy fire boltt  dream smart watch and make a video on it
I bought the CHEAPEST Tech in India!,@Diego-by5rz,"Sublime mention hell yeah <a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=891"">14:51</a>"
I bought the CHEAPEST Tech in India!,@thesprintgaming7789,broo dat is krazzie
I bought the CHEAPEST Tech in India!,@the_programmer9202,roti is uncooked
I bought the CHEAPEST Tech in India!,@dayonsam9986,Habibi come to kerala🇮🇳
I bought the CHEAPEST Tech in India!,@elcaponation,The shoes ain’t it my boy 😂 but Nice video keep it up 🫡
I bought the CHEAPEST Tech in India!,@akshatjaiswal6345,"<a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=439"">7:19</a> Wrong map bro"
I bought the CHEAPEST Tech in India!,@Lost_Devil123,"<a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=1238"">20:38</a> juggad was like 😂😂😂😂😂"
I bought the CHEAPEST Tech in India!,@Sans2019-y3y,"<a href=""https://www.youtube.com/watch?v=LdlLUogNYMw&amp;t=1664"">27:44</a> wdy by that"
I bought the CHEAPEST Tech in India!,@Rizzy_boy007,Try DW89 ultra please
I bought the CHEAPEST Tech in India!,@OKmateoYT,Grate video :)
I bought the CHEAPEST Tech in India!,@iamlorddems3859,Now will that idian phone work on an americian celluar network
I bought the CHEAPEST Tech in India!,@rakeshpopat8851,Why in dollers and not in rupees?
I bought the CHEAPEST Tech in India!,@wolfhunter7533,Y
I bought the CHEAPEST Tech in India!,@MOCRAFT117,Bro stayed at the sukoon farm
